443,3HON,3,A,3HSH,A,1.8,1
594,1NYH,3.1,A,1PL5,A,2.5,0.999257058
619,3V5B,3,A,1X8Y,A,2.2,1
890,1TGK,3.3,A,1TGJ,A,2,1
898,2NSB,3.2,A,2NSC,A,2.2,1
921,2R30,3.2,A,2Q1M,A,2.3,0.994186047
956,2BP2,3,A,1G4I,A,0.97,1
956,2BP2,3,A,1UNE,A,1.5,1
1061,5CW0,4.6,A,1STM,A,1.9,1
1061,5CVZ,3.3,A,1STM,A,1.9,1
1087,5B3Q,3,A,5B3P,A,1.65,1
1199,2ZGK,3,A,2ZGM,A,1.9,1
1199,2ZGK,3,A,2ZGL,A,1.9,1
1216,1KXA,3.1,A,1KXF,A,2.38,0.996212121
1216,1KXA,3.1,A,1SVP,A,2,0.996212121
1216,1KXD,3,A,1KXF,A,2.38,0.992424242
1217,1KXC,3.1,A,1KXF,A,2.38,0.992424242
1227,1LLT,3.1,A,1BV1,A,2,0.993710692
1233,3U3T,3.21,A,3U3P,A,2.09,1
1403,2O0I,3.1,1,1YWM,A,1.86,0.995762712
1520,3QPL,3.2,A,3TP3,A,1.86,1
1520,3QPL,3.2,A,5NIO,A,1.4,0.990697674
1549,4C8W,3.1,I.J,4C9R,B,2.1,1
1560,4BXT,3.13,A.B.C.D.E.F.G.H,5OIX,A,1.61,0.994818653
1692,5J6E,3.2,A.B,5HWB,A,2.31,0.990990991
1701,3HJ5,3.1,A.B,3HAK,A,1.8,1
1719,2OGU,3.23,A,2AEF,A,1.7,0.991071429
1719,2OGU,3.23,A,4L74,A,1.84,1
1719,2OGU,3.23,A,2AEJ,A,2.1,1
1751,3PRD,3.3,A,3PRB,A,2.2,1
1761,2C32,7.01,A,1YMG,A,2.24,1
1990,3GPM,3.8,A,3GPN,A,2.5,0.996062992
1990,3GPM,3.8,A,1PLQ,A,2.3,0.996062992
1994,3L0X,3,A.B,1PLQ,A,2.3,1
1994,3L0X,3,A.B,3GPN,A,2.5,0.993865031
1995,6CX4,3.08,A,1PLQ,A,2.3,0.992156863
2016,4L60,3,A,1PLQ,A,2.3,0.99609375
2020,4NDW,3.3,A.B,3QF3,A,2.41,1
2156,2O6B,3.21,A.B,2AV9,A,2.4,1
2164,1H6S,3,1,1PRN,A,1.96,1
2164,1H6S,3,1,3PRN,A,1.9,0.993079585
2164,1H6S,3,1,1BH3,A,2.19,0.993079585
2189,4L9J,3.45,A.B,5FFX,A,1.47,0.992805755
2288,3DTJ,4,A.B.C.D,3DS1,A,1.6,0.995475113
2292,4YXY,3.2,A.B.C.D,5BYO,A,2.5,1
2292,4YXY,3.2,A.B.C.D,4YXZ,A,2.5,1
2306,2HSM,3,A.B,2HRK,A,2.05,0.994897959
2308,4I20,3.34,A,5UG9,A,1.33,0.99189463
2308,4I20,3.34,A,5HG8,A,1.42,0.997973658
2308,4I20,3.34,A,5UG8,A,1.46,0.99189463
2312,1XGO,3.5,A,1XGS,A,1.75,1
2312,1XGO,3.5,A,2DFI,A,2.1,0.993220339
2360,3S4U,3.3,A,3P7I,A,1.71,0.990196078
2384,4GQX,3,A.B,3URR,A,1.4,0.993377483
2398,2XLY,3.1,A,2XM5,A,1.85,0.990415335
2398,2XLY,3.1,A,2XM7,A,2.22,0.993610224
2415,2V9Z,3,A,3SK0,A,1.78,0.996710526
2426,4IY2,3.6,A.C,4IYS,A,1.8,0.998275862
2426,4IY2,3.6,A.C,5MMZ,A,2.4,0.996551724
2426,4IY2,3.6,A.C,4IY0,A,1.9,0.998275862
2444,4RYJ,4.1,A.B,4RYO,A,1.6,1
2444,4RYJ,4.1,A.B,4RYQ,A,1.7,1
2444,4RYJ,4.1,A.B,4RYR,A,1.7,1
2448,1AOW,3,A,1I4A,A,2,0.996855346
2452,1X24,3.2,A.B,5BX1,A,1.9,0.99375
2628,4CHF,3,A.B,4CHE,A,1.8,0.997938144
2892,2WBH,4.7,A.B.C,2BU1,A,2.2,1
2892,2WBH,4.7,A.B.C,2C4Q,A,2.38,1
2892,2WBH,4.7,A.B.C,1MSC,A,2,0.992248062
3014,5H33,3.6,A.B,4ZBW,A,2.2,0.994505495
3085,4XCR,3.6,A.B,4BCZ,A,1.93,0.990909091
3186,4YDT,3.31,A.B,4YC5,A,1.76,1
3233,4PGU,3.4,A,4PGR,A,1.95,1
3233,4PGU,3.4,A,4PGS,A,2.5,1
3274,4OFV,3.1,A.B,3CJJ,A,1.85,0.995708155
3274,4OFV,3.1,A.B,4P2Y,A,2.3,0.991416309
3274,4OFV,3.1,A.B,4YBH,A,2.4,0.991416309
3366,5DZL,3.4,A.B.C.D,4QXW,A,2.04,1
3366,5DZL,3.4,A.B.C.D,2GK2,A,2.2,1
3366,5DZL,3.4,A.B.C.D,4WHD,A,2.5,1
3456,5Y0R,3.11,A,5Y0S,A,2.1,0.995271868
3523,4MMR,3.1,A.B,4MMS,A,2.4,0.990291262
3697,2IJF,3,A,3OL9,A,2.25,0.995661605
3697,2IJF,3,A,4K4S,A,2.4,0.995661605
3697,2IJF,3,A,3OLB,A,2.41,0.995661605
3742,3O5D,4,A.B,5OMP,A,1.88,1
3742,3O5D,4,A.B,5NJX,A,2.49,1
3815,2YWA,3.2,A.B.C.D,1WTY,A,2.2,1
3856,4C9U,3,A.B.C.D,4C9R,A,2.1,1
3902,4LP5,3.8,A.B,4P2Y,A,2.3,0.996884735
3902,4LP5,3.8,A.B,4YBH,A,2.4,0.996884735
3960,6CX2,3.1,A,1PLQ,A,2.3,0.996062992
3982,2YVZ,3.9,A.B,2YVY,A,2.3,1
